itemsets,count,support
"frozenset({'Clothing', 'Gambling', 'Education', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",2.0,0.0000000228
"frozenset({'Motor/Travel', 'Education', 'Gambling', 'Bills and Utilities'})",3925.0,0.0000446725
"frozenset({'Clothing', 'Gambling', 'Education', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",1.0,0.0000000114
"frozenset({'Housing', 'Fines', 'Health', 'Gambling'})",2.0,0.0000000228
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Motor/Travel'})",4.0,0.0000000455
"frozenset({'Motor/Travel', 'Education', 'Groceries', 'Bills and Utilities'})",32551.0,0.0003704802
"frozenset({'Clothing', 'Education', 'Fines', 'Entertainment', 'Gambling', 'Motor/Travel'})",3.0,0.0000000341
"frozenset({'Education', 'Health', 'Groceries', 'Bills and Utilities'})",11973.0,0.0001362711
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Savings', 'Tax'})",3.0,0.0000000341
"frozenset({'Motor/Travel', 'Education', 'Health', 'Bills and Utilities'})",7675.0,0.0000873533
"frozenset({'Tax', 'Fines', 'Gambling', 'Education'})",2.0,0.0000000228
"frozenset({'Motor/Travel', 'Housing', 'Fines', 'Gambling'})",3.0,0.0000000341
"frozenset({'Gambling', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",2.0,0.0000000228
"frozenset({'Housing', 'Fines', 'Education', 'Bills and Utilities'})",10.0,0.0000001138
"frozenset({'Motor/Travel', 'Entertainment', 'Health', 'Bills and Utilities'})",115433.0,0.0013138043
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Housing', 'Groceries'})",2.0,0.0000000228
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Motor/Travel', 'Housing'})",4.0,0.0000000455
"frozenset({'Education', 'Fines', 'Motor/Travel', 'Housing', 'Groceries'})",5.0,0.0000000569
"frozenset({'Motor/Travel', 'Entertainment', 'Groceries', 'Bills and Utilities'})",518543.0,0.0059018134
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Motor/Travel', 'Housing', 'Groceries'})",2.0,0.0000000228
"frozenset({'Entertainment', 'Health', 'Groceries', 'Bills and Utilities'})",180302.0,0.0020521129
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Entertainment', 'Housing'})",7.0,0.0000000797
"frozenset({'Gambling', 'Fines', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Health', 'Housing'})",3.0,0.0000000341
"frozenset({'Gambling', 'Fines', 'Motor/Travel', 'Housing', 'Groceries'})",1.0,0.0000000114
"frozenset({'Fines', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",3.0,0.0000000341
"frozenset({'Motor/Travel', 'Entertainment', 'Gambling', 'Bills and Utilities'})",62161.0,0.0007074874
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Housing'})",3.0,0.0000000341
"frozenset({'Entertainment', 'Health', 'Gambling', 'Bills and Utilities'})",21389.0,0.0002434396
"frozenset({'Entertainment', 'Groceries', 'Gambling', 'Bills and Utilities'})",95860.0,0.0010910336
"frozenset({'Fines', 'Health', 'Gambling', 'Education'})",4.0,0.0000000455
"frozenset({'Education', 'Fines', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Tax', 'Gambling', 'Savings', 'Education'})",271.0,0.0000030844
"frozenset({'Clothing', 'Education', 'Savings', 'Motor/Travel', 'Gambling', 'Tax'})",7.0,0.0000000797
"frozenset({'Clothing', 'Gambling', 'Education', 'Bills and Utilities', 'Motor/Travel', 'Housing', 'Groceries'})",1.0,0.0000000114
"frozenset({'Clothing', 'Gambling', 'Education', 'Bills and Utilities', 'Tax', 'Housing', 'Groceries'})",4.0,0.0000000455
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Gambling', 'Tax'})",3.0,0.0000000341
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Health', 'Tax', 'Housing', 'Groceries'})",4.0,0.0000000455
"frozenset({'Clothing', 'Gambling', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",18.0,0.0000002049
"frozenset({'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Motor/Travel', 'Tax'})",14.0,0.0000001593
"frozenset({'Education', 'Health', 'Savings', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",7.0,0.0000000797
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Entertainment', 'Housing', 'Groceries', 'Gambling', 'Tax'})",3.0,0.0000000341
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",6.0,0.0000000683
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Gambling'})",6.0,0.0000000683
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",6.0,0.0000000683
"frozenset({'Clothing', 'Education', 'Health', 'Motor/Travel', 'Housing', 'Gambling'})",7.0,0.0000000797
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Housing', 'Gambling'})",2.0,0.0000000228
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Motor/Travel', 'Gambling'})",3.0,0.0000000341
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Motor/Travel', 'Housing'})",5.0,0.0000000569
"frozenset({'Education', 'Health', 'Savings', 'Motor/Travel', 'Housing', 'Gambling'})",2.0,0.0000000228
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Gambling', 'Tax'})",5.0,0.0000000569
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Motor/Travel', 'Housing', 'Gambling'})",8.0,0.0000000911
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Entertainment', 'Housing', 'Gambling', 'Tax'})",3.0,0.0000000341
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Tax', 'Housing', 'Gambling'})",6.0,0.0000000683
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Entertainment', 'Housing', 'Groceries', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Health', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",6.0,0.0000000683
"frozenset({'Gambling', 'Bills and Utilities', 'Fines', 'Savings', 'Entertainment', 'Groceries'})",2.0,0.0000000228
"frozenset({'Bills and Utilities', 'Fines', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel'})",2.0,0.0000000228
"frozenset({'Gambling', 'Bills and Utilities', 'Fines', 'Savings', 'Motor/Travel', 'Groceries'})",2.0,0.0000000228
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Housing', 'Groceries'})",24.0,0.0000002732
"frozenset({'Gambling', 'Education', 'Health', 'Savings', 'Housing', 'Groceries'})",4.0,0.0000000455
"frozenset({'Gambling', 'Fines', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel'})",4.0,0.0000000455
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Housing', 'Gambling'})",1.0,0.0000000114
"frozenset({'Gambling', 'Bills and Utilities', 'Fines', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel'})",2.0,0.0000000228
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",18.0,0.0000002049
"frozenset({'Gambling', 'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries'})",4.0,0.0000000455
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Tax', 'Fines', 'Clothing', 'Education'})",6.0,0.0000000683
"frozenset({'Clothing', 'Education', 'Fines', 'Entertainment', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Education', 'Fines', 'Tax', 'Groceries'})",3.0,0.0000000341
"frozenset({'Clothing', 'Education', 'Fines', 'Entertainment', 'Groceries', 'Tax'})",2.0,0.0000000228
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Groceries', 'Tax'})",15.0,0.0000001707
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Tax', 'Housing', 'Gambling'})",5.0,0.0000000569
"frozenset({'Education', 'Fines', 'Savings', 'Motor/Travel', 'Groceries'})",3.0,0.0000000341
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Motor/Travel'})",4.0,0.0000000455
"frozenset({'Tax', 'Fines', 'Clothing', 'Savings'})",2.0,0.0000000228
"frozenset({'Clothing', 'Bills and Utilities', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",11.0,0.0000001252
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",3.0,0.0000000341
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",3.0,0.0000000341
"frozenset({'Clothing', 'Education', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",5.0,0.0000000569
"frozenset({'Clothing', 'Gambling', 'Education', 'Savings', 'Motor/Travel', 'Groceries', 'Tax'})",3.0,0.0000000341
"frozenset({'Bills and Utilities', 'Fines', 'Health', 'Savings', 'Entertainment'})",8.0,0.0000000911
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Housing'})",9.0,0.0000001024
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing'})",6.0,0.0000000683
"frozenset({'Clothing', 'Gambling', 'Education', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",2.0,0.0000000228
"frozenset({'Clothing', 'Gambling', 'Education', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Groceries', 'Tax'})",2.0,0.0000000228
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Groceries', 'Gambling', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Groceries', 'Gambling', 'Motor/Travel', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Gambling', 'Education', 'Health', 'Motor/Travel', 'Groceries', 'Tax'})",8.0,0.0000000911
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Gambling', 'Tax'})",2.0,0.0000000228
"frozenset({'Clothing', 'Gambling', 'Education', 'Bills and Utilities', 'Savings', 'Tax', 'Groceries'})",2.0,0.0000000228
"frozenset({'Clothing', 'Gambling', 'Education', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Bills and Utilities', 'Motor/Travel', 'Housing', 'Gambling', 'Tax'})",13.0,0.0000001480
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel'})",3.0,0.0000000341
"frozenset({'Clothing', 'Fines', 'Savings', 'Tax', 'Groceries'})",2.0,0.0000000228
"frozenset({'Clothing', 'Fines', 'Entertainment', 'Housing', 'Tax'})",2.0,0.0000000228
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Motor/Travel', 'Housing', 'Gambling'})",1.0,0.0000000114
"frozenset({'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Savings', 'Tax', 'Gambling'})",4.0,0.0000000455
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Groceries'})",21.0,0.0000002390
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Gambling', 'Tax'})",3.0,0.0000000341
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Groceries'})",13.0,0.0000001480
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Groceries'})",1.0,0.0000000114
"frozenset({'Clothing', 'Fines', 'Savings', 'Entertainment', 'Tax'})",2.0,0.0000000228
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Motor/Travel', 'Tax'})",14.0,0.0000001593
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Motor/Travel', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Entertainment', 'Motor/Travel', 'Tax'})",13.0,0.0000001480
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",12.0,0.0000001366
"frozenset({'Tax', 'Housing', 'Fines', 'Clothing'})",4.0,0.0000000455
"frozenset({'Clothing', 'Fines', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",2.0,0.0000000228
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Gambling'})",2.0,0.0000000228
"frozenset({'Clothing', 'Gambling', 'Education', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",5.0,0.0000000569
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel'})",97.0,0.0000011040
"frozenset({'Housing', 'Clothing', 'Savings', 'Health'})",378.0,0.0000043022
"frozenset({'Housing', 'Groceries', 'Clothing', 'Gambling'})",2133.0,0.0000242768
"frozenset({'Motor/Travel', 'Groceries', 'Clothing', 'Gambling'})",25723.0,0.0002927671
"frozenset({'Groceries', 'Clothing', 'Gambling', 'Savings'})",2469.0,0.0000281010
"frozenset({'Tax', 'Groceries', 'Clothing', 'Gambling'})",3996.0,0.0000454806
"frozenset({'Motor/Travel', 'Clothing', 'Gambling', 'Health'})",5415.0,0.0000616310
"frozenset({'Clothing', 'Gambling', 'Savings', 'Health'})",550.0,0.0000062598
"frozenset({'Tax', 'Clothing', 'Gambling', 'Health'})",900.0,0.0000102434
"frozenset({'Motor/Travel', 'Housing', 'Clothing', 'Gambling'})",1398.0,0.0000159114
"frozenset({'Tax', 'Housing', 'Clothing', 'Gambling'})",545.0,0.0000062029
"frozenset({'Motor/Travel', 'Clothing', 'Gambling', 'Savings'})",1574.0,0.0000179145
"frozenset({'Tax', 'Clothing', 'Gambling', 'Motor/Travel'})",2551.0,0.0000290343
"frozenset({'Housing', 'Clothing', 'Groceries', 'Health'})",4285.0,0.0000487699
"frozenset({'Motor/Travel', 'Clothing', 'Groceries', 'Health'})",45204.0,0.0005144907
"frozenset({'Clothing', 'Groceries', 'Savings', 'Health'})",4573.0,0.0000520477
"frozenset({'Tax', 'Clothing', 'Groceries', 'Health'})",7906.0,0.0000899824
"frozenset({'Groceries', 'Clothing', 'Gambling', 'Health'})",8516.0,0.0000969251
"frozenset({'Motor/Travel', 'Housing', 'Clothing', 'Groceries'})",11660.0,0.0001327087
"frozenset({'Tax', 'Fines', 'Clothing', 'Motor/Travel'})",28.0,0.0000003187
"frozenset({'Fines', 'Clothing', 'Savings', 'Health'})",7.0,0.0000000797
"frozenset({'Entertainment', 'Housing', 'Clothing', 'Health'})",8361.0,0.0000951610
"frozenset({'Entertainment', 'Clothing', 'Motor/Travel', 'Health'})",89154.0,0.0010147090
"frozenset({'Entertainment', 'Clothing', 'Savings', 'Health'})",8942.0,0.0001017737
"frozenset({'Tax', 'Entertainment', 'Clothing', 'Health'})",15114.0,0.0001720205
"frozenset({'Entertainment', 'Housing', 'Clothing', 'Motor/Travel'})",22435.0,0.0002553447
"frozenset({'Entertainment', 'Housing', 'Clothing', 'Savings'})",2862.0,0.0000325739
"frozenset({'Entertainment', 'Housing', 'Clothing', 'Tax'})",8127.0,0.0000924977
"frozenset({'Entertainment', 'Clothing', 'Motor/Travel', 'Savings'})",28206.0,0.0003210275
"frozenset({'Tax', 'Entertainment', 'Clothing', 'Motor/Travel'})",41096.0,0.0004677354
"frozenset({'Tax', 'Entertainment', 'Clothing', 'Savings'})",5049.0,0.0000574654
"frozenset({'Fines', 'Clothing', 'Groceries', 'Health'})",109.0,0.0000012406
"frozenset({'Motor/Travel', 'Fines', 'Clothing', 'Groceries'})",350.0,0.0000039835
"frozenset({'Fines', 'Clothing', 'Groceries', 'Savings'})",29.0,0.0000003301
"frozenset({'Tax', 'Fines', 'Clothing', 'Groceries'})",43.0,0.0000004894
"frozenset({'Motor/Travel', 'Fines', 'Clothing', 'Health'})",73.0,0.0000008309
"frozenset({'Tax', 'Fines', 'Clothing', 'Health'})",7.0,0.0000000797
"frozenset({'Tax', 'Entertainment', 'Clothing', 'Groceries'})",64076.0,0.0007292830
"frozenset({'Housing', 'Clothing', 'Groceries', 'Savings'})",1503.0,0.0000171064
"frozenset({'Motor/Travel', 'Clothing', 'Groceries', 'Savings'})",14374.0,0.0001635981
"frozenset({'Entertainment', 'Education', 'Groceries', 'Savings'})",30439.0,0.0003464424
"frozenset({'Tax', 'Entertainment', 'Groceries', 'Education'})",47426.0,0.0005397805
"frozenset({'Entertainment', 'Housing', 'Health', 'Education'})",6189.0,0.0000704403
"frozenset({'Entertainment', 'Education', 'Health', 'Savings'})",6354.0,0.0000723183
"frozenset({'Tax', 'Entertainment', 'Health', 'Education'})",11384.0,0.0001295674
"frozenset({'Motor/Travel', 'Housing', 'Entertainment', 'Education'})",16596.0,0.0001888879
"frozenset({'Entertainment', 'Housing', 'Education', 'Savings'})",2552.0,0.0000290457
"frozenset({'Tax', 'Housing', 'Entertainment', 'Education'})",5866.0,0.0000667641
"frozenset({'Motor/Travel', 'Education', 'Entertainment', 'Savings'})",19797.0,0.0002253202
"frozenset({'Tax', 'Entertainment', 'Motor/Travel', 'Education'})",30214.0,0.0003438816
"frozenset({'Tax', 'Education', 'Entertainment', 'Savings'})",4931.0,0.0000561223
"frozenset({'Motor/Travel', 'Fines', 'Groceries', 'Education'})",159.0,0.0000018097
"frozenset({'Housing', 'Groceries', 'Gambling', 'Education'})",1559.0,0.0000177438
"frozenset({'Groceries', 'Gambling', 'Savings', 'Education'})",1644.0,0.0000187112
"frozenset({'Tax', 'Groceries', 'Gambling', 'Education'})",3030.0,0.0000344860
"frozenset({'Entertainment', 'Housing', 'Groceries', 'Education'})",26081.0,0.0002968417
"frozenset({'Tax', 'Housing', 'Clothing', 'Groceries'})",4371.0,0.0000497487
"frozenset({'Tax', 'Entertainment', 'Gambling', 'Education'})",5408.0,0.0000615513
"frozenset({'Entertainment', 'Housing', 'Gambling', 'Education'})",2952.0,0.0000335983
"frozenset({'Tax', 'Clothing', 'Groceries', 'Motor/Travel'})",21504.0,0.0002447485
"frozenset({'Tax', 'Clothing', 'Groceries', 'Savings'})",2655.0,0.0000302180
"frozenset({'Motor/Travel', 'Housing', 'Clothing', 'Health'})",2748.0,0.0000312764
"frozenset({'Tax', 'Housing', 'Clothing', 'Health'})",1026.0,0.0000116775
"frozenset({'Motor/Travel', 'Clothing', 'Savings', 'Health'})",2964.0,0.0000337349
"frozenset({'Tax', 'Clothing', 'Motor/Travel', 'Health'})",5079.0,0.0000578068
"frozenset({'Tax', 'Clothing', 'Savings', 'Health'})",621.0,0.0000070679
"frozenset({'Motor/Travel', 'Housing', 'Clothing', 'Savings'})",940.0,0.0000106986
"frozenset({'Tax', 'Housing', 'Clothing', 'Motor/Travel'})",2721.0,0.0000309691
"frozenset({'Tax', 'Housing', 'Clothing', 'Savings'})",337.0,0.0000038356
"frozenset({'Tax', 'Clothing', 'Motor/Travel', 'Savings'})",1762.0,0.0000200543
"frozenset({'Entertainment', 'Fines', 'Groceries', 'Education'})",450.0,0.0000051217
"frozenset({'Tax', 'Entertainment', 'Motor/Travel'})",535710.0,0.0060972002
"frozenset({'Entertainment', 'Fines', 'Health', 'Education'})",93.0,0.0000010585
"frozenset({'Motor/Travel', 'Entertainment', 'Fines', 'Education'})",291.0,0.0000033120
"frozenset({'Entertainment', 'Education', 'Gambling', 'Savings'})",3354.0,0.0000381737
"frozenset({'Housing', 'Health', 'Gambling', 'Education'})",389.0,0.0000044274
"frozenset({'Entertainment', 'Clothing', 'Groceries', 'Savings'})",43918.0,0.0004998541
"frozenset({'Entertainment', 'Housing', 'Clothing', 'Groceries'})",35159.0,0.0004001633
"frozenset({'Tax', 'Housing', 'Groceries', 'Bills and Utilities'})",8246.0,0.0000938521
"frozenset({'Motor/Travel', 'Groceries', 'Savings', 'Bills and Utilities'})",19107.0,0.0002174669
"frozenset({'Motor/Travel', 'Groceries', 'Bills and Utilities', 'Tax'})",42199.0,0.0004802892
"frozenset({'Tax', 'Groceries', 'Savings', 'Bills and Utilities'})",5383.0,0.0000612668
"frozenset({'Motor/Travel', 'Housing', 'Health', 'Bills and Utilities'})",5633.0,0.0000641122
"frozenset({'Tax', 'Housing', 'Health', 'Bills and Utilities'})",1920.0,0.0000218525
"frozenset({'Motor/Travel', 'Health', 'Savings', 'Bills and Utilities'})",4386.0,0.0000499194
"frozenset({'Motor/Travel', 'Health', 'Bills and Utilities', 'Tax'})",10059.0,0.0001144868
"frozenset({'Tax', 'Health', 'Savings', 'Bills and Utilities'})",1152.0,0.0000131115
"frozenset({'Motor/Travel', 'Housing', 'Savings', 'Bills and Utilities'})",1998.0,0.0000227403
"frozenset({'Tax', 'Housing', 'Motor/Travel', 'Bills and Utilities'})",5154.0,0.0000586604
"frozenset({'Tax', 'Housing', 'Savings', 'Bills and Utilities'})",683.0,0.0000077736
"frozenset({'Motor/Travel', 'Savings', 'Bills and Utilities', 'Tax'})",3654.0,0.0000415881
"frozenset({'Entertainment', 'Fines', 'Clothing', 'Education'})",90.0,0.0000010243
"frozenset({'Entertainment', 'Clothing', 'Gambling', 'Education'})",7558.0,0.0000860216
"frozenset({'Housing', 'Groceries', 'Savings', 'Bills and Utilities'})",3056.0,0.0000347820
"frozenset({'Entertainment', 'Clothing', 'Groceries', 'Education'})",68484.0,0.0007794528
"frozenset({'Motor/Travel', 'Housing', 'Groceries', 'Bills and Utilities'})",24312.0,0.0002767078
"frozenset({'Health', 'Groceries', 'Savings', 'Bills and Utilities'})",6694.0,0.0000761880
"frozenset({'Tax', 'Fines', 'Groceries', 'Bills and Utilities'})",99.0,0.0000011268
"frozenset({'Motor/Travel', 'Fines', 'Savings', 'Bills and Utilities'})",30.0,0.0000003414
"frozenset({'Housing', 'Groceries', 'Gambling', 'Bills and Utilities'})",4081.0,0.0000464480
"frozenset({'Groceries', 'Gambling', 'Savings', 'Bills and Utilities'})",3489.0,0.0000397102
frozenset({'Tax'}),2943660.0,0.0335033586
"frozenset({'Tax', 'Groceries', 'Gambling', 'Bills and Utilities'})",7371.0,0.0000838933
"frozenset({'Housing', 'Health', 'Gambling', 'Bills and Utilities'})",948.0,0.0000107897
"frozenset({'Health', 'Gambling', 'Savings', 'Bills and Utilities'})",736.0,0.0000083768
"frozenset({'Tax', 'Health', 'Gambling', 'Bills and Utilities'})",1738.0,0.0000197811
"frozenset({'Motor/Travel', 'Housing', 'Gambling', 'Bills and Utilities'})",2770.0,0.0000315268
"frozenset({'Housing', 'Gambling', 'Savings', 'Bills and Utilities'})",371.0,0.0000042225
"frozenset({'Tax', 'Housing', 'Gambling', 'Bills and Utilities'})",917.0,0.0000104369
"frozenset({'Motor/Travel', 'Gambling', 'Savings', 'Bills and Utilities'})",2208.0,0.0000251304
"frozenset({'Motor/Travel', 'Gambling', 'Bills and Utilities', 'Tax'})",4865.0,0.0000553712
"frozenset({'Housing', 'Health', 'Groceries', 'Bills and Utilities'})",8901.0,0.0001013070
"frozenset({'Tax', 'Health', 'Groceries', 'Bills and Utilities'})",15758.0,0.0001793502
"frozenset({'Entertainment', 'Clothing', 'Groceries', 'Motor/Travel'})",443708.0,0.0050500765
"frozenset({'Entertainment', 'Clothing', 'Education', 'Health'})",14180.0,0.0001613901
"frozenset({'Entertainment', 'Clothing', 'Motor/Travel', 'Education'})",43989.0,0.0005006622
"frozenset({'Motor/Travel', 'Clothing', 'Savings', 'Education'})",2022.0,0.0000230135
"frozenset({'Tax', 'Clothing', 'Motor/Travel', 'Education'})",3195.0,0.0000363640
"frozenset({'Tax', 'Clothing', 'Savings', 'Education'})",526.0,0.0000059867
"frozenset({'Entertainment', 'Fines', 'Clothing', 'Groceries'})",993.0,0.0000113019
"frozenset({'Entertainment', 'Fines', 'Clothing', 'Health'})",203.0,0.0000023105
"frozenset({'Entertainment', 'Fines', 'Clothing', 'Motor/Travel'})",638.0,0.0000072614
"frozenset({'Entertainment', 'Fines', 'Clothing', 'Savings'})",50.0,0.0000005691
"frozenset({'Tax', 'Entertainment', 'Clothing', 'Fines'})",82.0,0.0000009333
"frozenset({'Entertainment', 'Groceries', 'Clothing', 'Gambling'})",79773.0,0.0009079389
"frozenset({'Entertainment', 'Clothing', 'Gambling', 'Health'})",16777.0,0.0001909480
"frozenset({'Entertainment', 'Housing', 'Clothing', 'Gambling'})",3999.0,0.0000455147
"frozenset({'Entertainment', 'Clothing', 'Gambling', 'Motor/Travel'})",51097.0,0.0005815621
"frozenset({'Entertainment', 'Clothing', 'Gambling', 'Savings'})",4824.0,0.0000549045
"frozenset({'Tax', 'Entertainment', 'Clothing', 'Gambling'})",7431.0,0.0000845762
"frozenset({'Entertainment', 'Clothing', 'Groceries', 'Health'})",138842.0,0.0015802346
"frozenset({'Tax', 'Housing', 'Clothing', 'Education'})",593.0,0.0000067492
"frozenset({'Entertainment', 'Housing', 'Clothing', 'Education'})",5216.0,0.0000593661
"frozenset({'Housing', 'Clothing', 'Savings', 'Education'})",266.0,0.0000030275
"frozenset({'Tax', 'Clothing', 'Education', 'Health'})",1144.0,0.0000130205
"frozenset({'Entertainment', 'Education', 'Clothing', 'Savings'})",6156.0,0.0000700647
"frozenset({'Tax', 'Entertainment', 'Clothing', 'Education'})",9481.0,0.0001079083
"frozenset({'Groceries', 'Clothing', 'Gambling', 'Education'})",3821.0,0.0000434888
"frozenset({'Clothing', 'Gambling', 'Education', 'Health'})",870.0,0.0000099019
"frozenset({'Motor/Travel', 'Clothing', 'Gambling', 'Education'})",2494.0,0.0000283855
"frozenset({'Clothing', 'Gambling', 'Savings', 'Education'})",324.0,0.0000036876
